unix_time, Latitude, Longitude, Altitude, Center, CellID, AntennaGain, RSRPs, RSSIs, TXPWRs, RSRQs, SINRs
16443380637,40.694388,-73.95682,69.8,2140,12291330,4,-71,-32.5,-33,-16,-0.8
16443380638,40.694395,-73.956821,69.8,2140,12291330,4,-71,-32.2,-32.8,-16,-1.2
16443380639,40.694402,-73.956822,69.8,2140,12291330,4,-71,-32,-32.6,-16,-1.6
16443380640,40.6944095,-73.9568235,69.85,2140,12291330,4,-71,-31.8,-32.4,-16.3,-2
16443380641,40.694417,-73.956825,69.9,2140,12291330,4,-71,-31.5,-32.2,-16.7,-2.4
16443380642,40.694424,-73.95682625,69.9,2140,12291330,4,-71,-31.2,-32,-17,-2.8
16443380643,40.694431,-73.9568275,69.9,2140,12291330,4,-72,-31,-32,-17,-3.2
16443380644,40.694438,-73.95682875,69.9,2140,12291330,4,-72,-31.2,-32,-17,-2.9
16443380645,40.694445,-73.95683,69.9,2140,12291330,4,-72,-31.4,-32,-17,-2.6
16443380646,40.694452,-73.956832,69.9,2140,12291330,4,-72,-31.6,-32,-17,-2.2
16443380647,40.694459,-73.956833,69.9,2140,12291330,4,-72.5,-31.8,-32,-17.5,-1.9
16443380648,40.694466,-73.956834,69.9,2140,12291330,4,-73,-32,-32,-18,-1.6
16443380649,40.694473,-73.956835,69.9,2140,12291330,4,-73,-31.4,-32,-18,-2.6
16443380650,40.69448,-73.956837,69.9,2140,12291330,4,-73,-30.8,-32,-18,-3.7
16443380651,40.694487,-73.956838,69.9,2140,12291330,4,-73,-30.2,-32,-18,-4.7
16443380652,40.694494,-73.956839,69.9,2140,12291330,4,-73.5,-29.6,-32,-18,-5.8
16443380653,40.694502,-73.95684,70,2140,12291330,4,-74,-29,-32,-18,-6.8
16443380654,40.694502,-73.95684,70,2140,12291330,4,-74,-29.5,-32,-18.3,-7.5
16443380655,40.694516,-73.956843,70,2140,12291330,4,-74,-30,-32,-18.7,-8.1
16443380656,40.694523,-73.956844,70,2140,12291330,4,-74,-30.5,-32,-19,-8.8
16443380657,40.69453,-73.9568455,70.05,2140,12291330,4,-75,-31,-31.8,-20,-9.4
16443380658,40.694537,-73.956847,70.1,2140,12291330,4,-75,-31.2,-31.5,-20,-9.7
16443380659,40.694545,-73.956848,70,2140,12291330,4,-75,-31.4,-31.2,-20,-10
16443380660,40.694551,-73.956849,70,2140,12291330,4,-75,-31.6,-31,-20,-10.2
