unix_time,latitude,longitude,altitude(m),RSRP,RSRQ,RSSI,SINR,CellID
16443380637,40.694388000000,-73.956820000000,39.800000000000,-71.0,-32.5,-16.0,96.0,0BB8D02
16443380638,40.694395000000,-73.956821000000,39.800000000000,-71.0,-32.2,-16.0,94.0,0BB8D02
16443380639,40.694402000000,-73.956822000000,39.800000000000,-71.0,-32.0,-16.0,92.0,0BB8D02
16443380640,40.694409500000,-73.956823500000,39.850000000000,-71.0,-31.8,-16.3,90.0,0BB8D02
16443380641,40.694417000000,-73.956825000000,39.900000000000,-71.0,-31.5,-16.7,88.0,0BB8D02
16443380642,40.694424000000,-73.956826250000,39.900000000000,-71.0,-31.2,-17.0,86.0,0BB8D02
16443380643,40.694431000000,-73.956827500000,39.900000000000,-72.0,-31.0,-17.0,84.0,0BB8D02
16443380644,40.694438000000,-73.956828750000,39.900000000000,-72.0,-31.2,-17.0,85.6,0BB8D02
16443380645,40.694445000000,-73.956830000000,39.900000000000,-72.0,-31.4,-17.0,87.2,0BB8D02
16443380646,40.694452000000,-73.956832000000,39.900000000000,-72.0,-31.6,-17.0,88.8,0BB8D02
16443380647,40.694459000000,-73.956833000000,39.900000000000,-72.5,-31.8,-17.5,90.4,0BB8D02
16443380648,40.694466000000,-73.956834000000,39.900000000000,-73.0,-32.0,-18.0,92.0,0BB8D02
16443380649,40.694473000000,-73.956835000000,39.900000000000,-73.0,-31.4,-18.0,86.8,0BB8D02
16443380650,40.694480000000,-73.956837000000,39.900000000000,-73.0,-30.8,-18.0,81.6,0BB8D02
16443380651,40.694487000000,-73.956838000000,39.900000000000,-73.0,-30.2,-18.0,76.4,0BB8D02
16443380652,40.694494000000,-73.956839000000,39.900000000000,-73.5,-29.6,-18.0,71.2,0BB8D02
16443380653,40.694502000000,-73.956840000000,40.000000000000,-74.0,-29.0,-18.0,66.0,0BB8D02
16443380654,40.694502000000,-73.956840000000,40.000000000000,-74.0,-29.5,-18.3,62.8,0BB8D02
16443380655,40.694516000000,-73.956843000000,40.000000000000,-74.0,-30.0,-18.7,59.5,0BB8D02
16443380656,40.694523000000,-73.956844000000,40.000000000000,-74.0,-30.5,-19.0,56.2,0BB8D02
